word,central,frontal,occipital,parietal,temporal
link,1,1,0,1,1
lip-read,1,1,1,0,1
liquefy,1,1,0,1,0
liquidize,1,1,0,1,0
lisp,1,1,0,0,1
list,0,1,0,0,1
listen,0,1,0,0,1
litigate,0,1,0,0,1
litter,1,1,0,1,0
live,1,1,0,1,1
liven,1,1,0,1,1
load,1,1,0,1,0
loaf,0,1,0,0,1
loan,0,1,0,0,1
lobby,0,1,0,0,1
lobotomize,1,1,0,1,0
locate,1,1,1,1,1
lock,1,1,0,1,0
lodge,1,1,0,1,0
loft,1,1,0,1,0
log,0,1,0,0,1
loiter,1,1,0,1,1
loll,0,1,0,1,0
long,0,1,0,0,1
look,1,1,1,0,1
loom,1,1,1,1,0
loop,1,1,0,1,0
loose,1,1,0,1,0
loot,1,1,0,1,0
lop,1,1,0,1,0
lord,0,1,0,0,1
lose,0,1,0,1,0
lounge,0,1,0,0,1
lour,0,1,0,0,1
love,1,1,0,0,1
low,0,1,0,0,1
lubricate,1,1,0,1,0
luck,0,1,0,0,1
lug,1,0,0,1,0
lull,0,1,0,0,1
lumber,1,0,0,1,0
lump,1,0,0,1,0
lunch,1,1,0,1,0
lunge,1,0,0,1,0
lurch,1,1,0,1,0
lure,0,1,0,0,1
lurk,1,1,0,1,1
lust,0,1,0,0,1
lynch,1,1,0,1,1
macerate,1,1,0,1,0
machine,1,1,0,1,1
machine-gun,1,1,1,1,1
mad-den,0,1,0,0,1
magic,1,1,1,0,1
magnetize,1,1,0,1,0
magnify,1,1,1,0,1
mail,1,1,0,1,1
mail bomb,1,1,0,1,1
main-line,1,1,0,1,0
main-stream,0,1,0,0,1
maintain,1,1,0,1,1
major,0,1,0,0,1
make,1,1,0,1,1
malfunction,1,1,0,1,1
malign,0,1,0,0,1
man,1,1,0,1,1
manage,1,1,0,1,1
mandate,0,1,0,0,1
mangle,1,0,0,1,0
man-handle,1,1,0,1,0
manifest,0,1,0,0,1
manipulate,1,1,0,1,1
manoeuvre,1,1,0,1,1
mantle,1,0,0,1,0
manure,1,0,0,1,0
map,1,1,1,1,1
mar,1,1,0,1,0
mark,1,1,0,1,1
maroon,1,1,0,1,0
marry,1,1,0,0,1
marshal,1,1,0,1,1
martyr,0,1,0,0,1
marvel,1,1,1,0,1
mash,1,1,0,1,0
mask,1,1,1,1,1
masquerade,1,1,1,1,1
mass,0,1,0,1,0
massacre,1,1,0,1,1
massage,1,0,0,1,1
mass produce,1,1,0,1,1
master,1,1,0,1,1
mastermind,0,1,0,1,1
masticate,1,1,0,1,1
masturbate,1,1,0,1,1
match,1,1,0,1,1
mate,1,1,0,0,1
materialize,1,1,1,1,1
matriculate,0,1,0,0,1
matter,0,1,0,0,1
mature,0,1,0,0,1
maul,1,0,0,1,0
maunder,0,1,0,0,1
max,0,1,0,1,0
maximize,1,1,0,1,1
may,0,1,0,0,1
mean,0,1,0,0,1
meander,1,1,1,1,0
measure,1,1,0,1,1
meddle,1,1,0,1,0
medal,0,1,0,0,1
mediate,0,1,0,0,1
medicate,1,1,0,1,1
meditate,0,1,0,0,1
meet,1,1,0,0,1
meld,1,1,0,1,1
mellow,0,1,0,0,1
melt,1,1,1,1,0
memorialize,0,1,0,0,1
memorize,0,1,1,0,1
menace,1,1,0,1,1
mend,1,1,0,1,0
menstruate,1,0,0,1,0
mention,0,1,0,0,1
mercerize,1,1,0,1,0
merchandise,1,1,0,1,1
merge,1,1,0,1,1
merit,0,1,0,0,1
mesh,1,1,0,1,0
mess,1,1,0,1,0
message,0,1,0,0,1
metabolize,1,1,0,1,0
metamorphose,1,1,1,1,1
mete,0,1,0,1,0
meter,1,1,0,1,0
methinks,0,1,0,0,1
mew,0,1,0,0,1
mewl,1,1,0,0,1
micro-chip,1,1,0,1,1
microwave,1,1,1,1,0
micturate,1,0,0,1,0
might,0,1,0,0,1
migrate,1,1,0,1,0
militarize,1,1,0,1,1
militate,1,1,0,1,0
milk,1,1,0,1,0
mill,1,1,0,1,0
mime,1,1,0,0,1
mimic,1,1,0,0,1
mince,1,1,0,1,0
mind,0,1,0,0,1
mine,1,1,0,1,0
mingle,1,1,0,1,1
minimize,1,1,0,1,1
minister,0,1,0,0,1
minor,0,1,0,0,1
minute,0,1,0,0,1
mirror,1,1,1,0,1
misapply,0,1,0,1,0
misbehave,1,1,0,1,0
miscalculate,0,1,0,1,1
misconceive,0,1,0,0,1
misconstrue,0,1,0,0,1
misdiagnose,0,1,0,1,1
misdial,1,1,0,1,0
misdirect,1,1,0,1,1
misfile,1,1,0,1,0
misfire,1,1,0,1,0
misgovern,0,1,0,0,1
mishandle,1,1,0,1,0
mishear,0,1,0,0,1
mishit,1,1,0,1,0
misinform,0,1,0,0,1
misinterpret,0,1,0,0,1
misjudge,0,1,0,0,1
miskey,1,1,0,1,0
mislead,0,1,0,0,1
mismanage,1,1,0,1,0
mismatch,1,1,0,1,0
misname,0,1,0,0,1
misplace,1,1,0,1,0
misplay,1,1,0,1,0
mispronounce,1,1,0,0,1
misread,0,1,1,0,1
misreport,0,1,0,0,1
misrepresent,0,1,0,0,1
miss,0,1,0,0,1
mission,0,1,0,0,1
misspell,1,1,0,1,1
misspend,1,1,0,1,0
mist,1,1,1,1,0
mistake,0,1,0,1,1
mistime,1,1,0,1,0
mistreat,1,1,0,1,0
mistrust,0,1,0,0,1
misuse,1,1,0,1,0
mitigate,0,1,0,1,0
mitre,1,1,0,1,0
mix,1,1,0,1,0
moan,1,1,0,0,1
mob,1,1,0,1,1
mobilize,1,1,0,1,1
mock,1,1,0,0,1
modal,0,1,0,0,1
model,1,1,1,1,1
moderate,0,1,0,1,1
modify,1,1,0,1,1
moisten,1,0,0,1,0
moisturize,1,0,0,1,0
molest,1,1,0,1,1
molify,0,1,0,0,1
molly coddle,1,1,0,0,1
monitor,1,1,1,1,1
monopolize,1,1,0,1,1
mooch,1,1,0,1,1
moon,1,1,1,0,1
moonlight,1,1,1,0,1
moonwalk,1,1,0,1,0
moor,1,1,0,1,0
moot,0,1,0,0,1
mope,0,1,0,0,1
moralize,0,1,0,0,1
morph,1,1,1,1,1
mortar,1,1,0,1,0
mortgage,0,1,0,0,1
mortify,0,1,0,0,1
mosey,1,0,0,1,0
mosh,1,0,0,1,0
mothball,1,1,0,1,0
mother,0,1,0,0,1
motion,1,1,0,1,0
motivate,0,1,0,0,1
motor,1,1,0,1,0
mould,1,1,0,1,0
moult,1,0,0,1,0
mount,1,0,0,1,0
mourn,0,1,0,0,1
mouth,1,1,0,0,1
move,1,0,0,1,0
mow,1,0,0,1,0
muck,1,0,0,1,0
muddle,0,1,0,1,0
muddy,1,0,0,1,0
muff,1,0,0,1,0
muffle,1,0,0,1,0
mug,1,1,0,1,1
mulch,1,0,0,1,0
mull,0,1,0,0,1
multicast,1,1,1,1,1
multiply,1,1,0,1,1
multitask,1,1,0,1,1
mumble,1,1,0,0,1
mummify,1,1,0,1,0
munch,1,1,0,1,1
murder,1,1,0,1,1
murmur,1,1,0,0,1
muscle,1,0,0,1,0
muse,0,1,0,0,1
mushroom,1,1,1,1,1
must,0,1,0,0,1
muster,1,1,0,1,1
mute,0,1,0,0,1
mutilate,1,1,0,1,1
mutiny,1,1,0,1,1
mutter,1,1,0,0,1
muzzle,1,1,0,1,0
mystify,1,1,1,0,1
nab,1,1,0,1,0
nag,0,1,0,0,1
nail,1,1,0,1,0
name,0,1,0,0,1
name-dropping,0,1,0,0,1
nap,0,1,0,0,1
narrate,0,1,0,0,1
narrow,0,1,0,1,0
narrow-cast,1,1,1,1,0
nasalize,1,1,0,0,1
nationalize,0,1,0,1,1
natter,1,1,0,0,1
naturalize,0,1,0,1,1
nauseate,1,1,0,1,1
navigate,1,1,1,1,0
near,0,1,1,1,0
neaten,1,1,0,1,0
necessiate,0,1,0,1,1
neck,1,0,0,1,0
necklace,1,1,0,1,0
need,0,1,0,0,1
needle,1,1,0,1,0
negate,0,1,0,0,1
negative,0,1,0,0,1
negotiate,0,1,0,0,1
neigh,1,1,0,0,1
nerve,1,1,0,1,0
nest,1,1,0,1,0
nestle,1,1,0,1,1
net,1,1,0,1,0
nettle,0,1,0,0,1
network,1,1,0,1,1
neuter,1,1,0,1,0
neutralize,1,1,0,1,0
nibble,1,1,0,1,1
nick,1,1,0,1,0
nickname,0,1,0,0,1
niggle,0,1,0,0,1
nitrify,1,1,0,1,0
nix,0,1,0,0,1
nobble,1,1,0,1,0
nod,1,1,0,1,0
nominalize,0,1,0,0,1
nominate,0,1,0,0,1
nominative,0,1,0,0,1
normalize,0,1,0,1,1
nose,1,1,0,1,1
nose-dive,1,1,1,1,0
nosh,1,1,0,1,1
notch,1,1,0,1,0
note,0,1,0,0,1
notice,1,1,1,0,1
nourish,1,1,0,1,1
nudge,1,0,0,1,0
nuke,1,1,1,1,1
nullify,0,1,0,1,0
numb,1,1,0,1,0
number,1,1,0,1,0
nurse,1,1,0,1,1
nurture,1,1,0,1,1
nut,1,0,0,1,0
nuzzle,1,1,0,1,1
obey,0,1,0,1,1
obfuscate,0,1,0,0,1
object,0,1,0,0,1
objectify,0,1,0,0,1
oblige,0,1,0,0,1
obliterate,1,1,0,1,0
obscure,0,1,1,0,1
observer,1,1,1,1,1
obsess,0,1,0,0,1
obstruct,1,1,0,1,0
obtain,1,1,0,1,1
obtrude,1,1,0,1,0
obviate,0,1,0,1,1
occasion,0,1,0,1,0
occlude,1,0,0,1,0
occupy,1,1,0,1,1
occur,0,1,0,0,1
OD,1,1,0,1,1
off,0,1,0,0,1
offend,0,1,0,0,1
offer,1,1,0,1,1
offload,1,1,0,1,0
offset,1,1,0,1,0
ogle,1,1,1,0,1
oil,1,0,0,1,0
ok,0,1,0,0,1
omit,0,1,0,1,1
oneself,0,1,0,1,1
ooze,1,0,0,1,0
open,1,1,0,1,0
operate,1,1,0,1,1
opine,0,1,0,0,1
oppose,1,1,0,1,1
oppress,1,1,0,1,1
opt,0,1,0,1,0
optimize,1,1,0,1,1
orbit,1,1,1,1,0
orchestra,1,1,1,1,1
order,0,1,0,1,1
organise,1,1,0,1,1
orient,1,1,1,1,0
orientate,1,1,1,1,0
originate,0,1,0,0,1
orphan,0,1,0,0,1
oscillate,1,1,1,1,0
ossify,1,0,0,1,0
ostracize,0,1,0,0,1
oust,1,1,0,1,0
out,0,1,0,0,1
outbid,1,1,0,1,0
outclass,1,1,0,1,1
outdistance,1,1,1,1,0
outface,1,1,0,1,0
outfit,1,1,0,1,0
outflank,1,1,0,1,0
outgun,1,1,0,1,0
outlaw,0,1,0,0,1
outline,0,1,1,0,1
outmanouvre,1,1,1,1,0
outpance,1,1,0,1,0
outperform,1,1,0,1,1
outplay,1,1,0,1,1
outpoint,1,1,0,1,0
output,1,1,0,1,0
outrage,1,1,0,1,1
outrank,1,1,0,1,0
outrun,1,1,0,1,0
outsell,1,1,0,1,1
outsmart,1,1,0,1,1
outsource,1,1,0,1,0
outstay,0,1,0,1,0
outstretched,1,0,0,1,0
outstrip,1,1,0,1,0
outvote,0,1,0,0,1
outweigh,0,1,0,1,1
outwit,1,1,0,1,1
overachive,1,1,0,1,1
over balance,1,1,0,1,0
over bearing,0,1,0,0,1
over book,0,1,0,1,1
over burden,1,1,0,1,0
overcome,1,1,0,1,1
overdose,1,1,0,1,1
overcook,1,1,0,1,0
over draw,1,1,0,1,0
over dub,1,1,1,0,1
over eat,1,1,0,1,1
over egg,1,1,0,1,0
overestimate,0,1,0,1,1
overexpose,1,1,1,0,1
overfeed,1,0,0,1,0
overflow,1,1,0,1,0
overfly,1,1,1,1,0
overgeneralize,0,1,0,0,1
overgraze,1,1,0,1,0
overhang,1,1,0,1,0
overhaul,1,1,0,1,0
overhear,0,1,0,0,1
overheat,1,1,0,1,0
over indulge,1,1,0,1,1
overlap,1,1,0,1,0
overlay,1,1,0,1,0
overload,1,1,0,1,1
overlook,1,1,1,0,1
overmuch,0,1,0,1,0
overpay,1,1,0,1,0
overplay,1,1,0,1,1
overpower,1,1,0,1,1
overprint,1,1,0,1,0
overproduce,1,1,0,1,1
overrate,0,1,0,1,1
overreach,1,1,0,1,0
overreact,1,1,0,1,1
overrride,1,1,0,1,0
overrule,0,1,0,0,1
oversee,1,1,1,1,1
oversell,1,1,0,1,1
overshadow,0,1,0,1,1
overshoot,1,1,1,1,0
oversimplify,0,1,0,0,1
oversleep,0,1,0,0,1
overspend,1,1,0,1,1
overstate,0,1,0,0,1
overstay,0,1,0,1,0
overstep,1,1,0,1,0
overstock,1,1,0,1,0
overstretch,1,1,0,1,0
overtake,1,1,0,1,0
overtax,0,1,0,1,0
overthrow,1,1,0,1,1
overtrain,1,1,0,1,0
overuse,1,1,0,1,0
overturn,1,1,0,1,0
overwhelm,1,1,0,1,1
overwork,1,1,0,1,1
overwrite,1,1,0,1,0
owe,0,1,0,0,1
own,0,1,0,0,1
oxidize,1,1,0,1,0
oxygenate,1,1,0,1,0
pace,1,1,0,0,1
pacify,1,1,0,0,1
pack,0,0,1,1,0
package,1,0,1,0,1
pad,1,1,0,1,0
packetize,0,1,0,0,1
paddle,0,0,1,0,1
paddlock,0,0,0,1,1
page,0,0,1,0,0
paginate,0,1,1,1,0
pain,0,0,1,0,1
paint,1,1,1,0,0
pair,1,1,1,0,1
palatal ize,1,0,1,0,0
pall,1,0,0,1,0
pale,0,1,1,0,0
palm,0,1,0,1,1
palpate,1,0,0,1,1
palpitate,1,1,1,1,1
pamper,0,0,0,0,1
pan,0,0,1,1,0
pander,1,0,0,0,1
panel,0,0,0,1,1
panfry,0,0,0,0,0
panic,1,0,1,1,0
pant,0,1,1,1,1
paper,0,0,1,0,0
parachute,1,0,1,1,0
parade,1,1,1,1,0
parallel,0,1,0,1,0
paralyse,1,1,1,0,1
paraphrase,0,0,0,0,0
parboil,1,1,0,1,1
parcel,0,0,0,0,1
parch,1,1,1,1,1
pardon,1,1,0,0,1
pare,1,0,1,0,0
park,0,1,1,0,0
parlay,1,0,0,1,0
parody,1,1,1,0,0
parole,1,1,1,1,1
parrot,1,1,0,0,1
parry,0,1,1,0,1
parse,0,1,1,1,0
part,0,0,1,0,0
partake,0,0,1,0,1
participate,0,1,0,0,1
particularize,0,0,0,0,0
partition,1,1,0,0,1
partner,1,0,1,0,1
party,1,1,1,1,1
pass,1,1,1,1,0
passivize,0,1,0,1,0
paste,1,0,1,0,0
pasteurize,0,1,1,1,1
pasture,1,1,1,1,0
pat,0,1,1,1,1
patch,0,1,0,0,0
patent,1,0,0,1,0
patrol,1,0,1,0,1
patter,0,1,0,1,0
pattern,1,1,1,0,0
pause,0,1,0,1,1
pave,0,1,1,0,1
paw,0,0,1,0,0
pawn,1,0,0,0,1
pay,1,1,0,1,0
peak,1,1,0,0,1
peal,0,1,1,0,1
peck,0,1,0,1,1
pedal,0,1,1,1,0
peddle,1,0,0,1,0
pedestrianize,0,0,1,0,1
pee,1,1,0,0,1
peek,1,1,1,1,1
peel,0,1,0,0,1
peep,0,0,1,1,1
peer,0,1,0,1,0
peg,1,0,1,0,0
pelt,1,0,1,0,0
pen,0,1,0,1,1
penalize,1,0,0,0,1
pencil,1,1,0,1,0
penetrate,0,0,1,0,1
pension,1,1,0,1,0
people,0,1,0,1,1
pep,1,0,0,1,0
pepper,0,0,0,1,1
perch,1,1,0,0,0
perfect,0,1,1,0,1
perforate,1,0,0,1,1
perform,0,1,0,0,1
perfume,0,0,1,1,1
perish,1,0,0,0,0
perjure,1,1,0,1,1
perk,1,1,0,0,1
perm,1,0,1,0,0
permeate,1,1,1,1,1
permit,0,0,1,0,1
perpetrate,0,1,1,0,1
perpetuate,1,1,0,1,0
perplex,0,1,1,1,1
persecute,1,0,0,1,0
persevere,1,1,0,0,1
persist,1,1,1,1,0
personalize,0,0,0,1,1
personify,1,1,0,1,0
perpsire,0,1,1,0,1
persuade,1,1,0,1,1
pertain,0,1,0,0,0
peruse,0,1,1,0,1
pervert,1,1,1,1,0
pester,0,0,1,0,0
pet,0,0,1,0,1
peter,1,1,0,0,1
petition,1,0,1,1,1
petrify,0,0,1,1,0
phase,1,1,1,0,1
phone,0,0,0,1,1
photocopy,1,1,1,1,0
photograph,1,0,0,1,1
phrase,0,1,0,0,0
pick,1,1,1,0,1
picket,0,0,1,1,1
pickle,1,0,1,1,0
picnic,0,1,0,0,1
picture,1,0,1,0,0
piddle,0,1,0,1,1
piece,1,1,1,0,0
pierce,0,0,1,1,1
pig,0,1,0,0,1
piggy back,1,0,1,1,1
pike,0,0,1,0,0
pile,1,0,0,1,1
pilfer,1,1,0,0,0
pill,1,0,0,1,0
pillage,1,1,1,0,0
pillory,0,0,0,1,1
pillow,1,1,0,0,0
pilot,1,1,0,1,1
pimp,1,1,1,0,0
pin,0,0,1,1,1
pinch,1,1,0,1,0
pinchhit,0,0,0,1,0
pinch run,1,1,1,0,1
pine,0,1,0,0,0
ping,1,0,0,0,1
pinion,0,1,0,1,1
pink,0,0,1,0,1
pinpoint,1,1,1,0,0
pioneer,1,0,1,1,1
pip,0,1,0,0,0
pipe,1,0,1,0,0
pique,1,0,0,1,0
pirate,1,1,0,0,1
piss,0,0,1,0,0
pistol-whip,0,0,0,1,0
pit,0,0,0,0,0
pitch,0,1,0,1,1
pity,0,0,1,1,1
pivot,0,0,1,0,0
placate,1,0,1,1,1
pixelate,0,1,0,1,0
place,1,1,0,0,0
plagiarize,0,1,0,0,0
plague,1,1,1,1,0
plan,1,1,0,1,0
plane,0,0,0,1,1
plant,1,0,1,0,0
plaster,0,1,1,1,0
plate,0,1,0,1,1
plateau,1,0,1,0,0
play,1,1,1,1,0
plead,0,1,0,0,0
please,0,0,1,0,1
pledge,1,1,1,0,0
plight,1,1,0,1,1
plod,0,1,0,1,0
plonk,0,1,0,0,1
plop,0,0,1,1,0
plot,0,1,1,0,0
plough,0,0,0,1,0
pluck,0,0,1,0,1
plug,1,0,0,1,1
plumb,1,1,1,0,0
plummet,0,0,1,0,0
plump,0,0,0,0,0
plunder,0,0,1,0,0
plunk,1,1,0,0,1
pluralize,0,1,1,0,0
ply,0,1,1,1,1
poach,1,0,0,0,1
pocket,1,0,0,0,0
point,1,0,1,0,1
poise,1,0,0,1,0
poison,0,0,0,0,0
poke,1,1,1,0,1
polarize,0,0,1,0,1
poleaxe,1,1,1,1,1
police,0,0,1,0,0
polish,0,1,0,0,1
polticize,0,0,0,0,0
poll,0,0,1,0,0
pollard,0,0,1,1,1
pollinate,0,1,0,1,1
pollute,0,1,1,1,0
polymerize,0,1,0,0,0
ponce,1,0,1,0,0
ponder,1,1,0,1,1
pong,0,1,0,0,1
pontificate,0,0,0,1,1
pony,0,1,0,1,1
pooh,1,0,0,1,1
pool,0,0,1,0,1
pootle,0,1,1,0,0
pop,0,0,0,1,0
popularize,1,0,0,1,1
populate,0,1,0,0,0
pore,1,1,0,0,0
port,0,1,0,0,1
portend,1,0,1,0,0
portion,1,0,1,0,0
portray,1,1,1,0,0
pose,0,0,1,1,1
posit,0,1,1,1,1
position,0,0,1,0,1
possess,0,0,1,1,1
posset,1,0,1,0,1
post,0,1,0,0,1
postdate,1,0,1,1,0
postmark,1,1,1,1,1
postpone,1,0,0,1,1
postsync,0,1,1,0,1
postulate,1,0,1,1,1
pot,1,1,0,1,0
posture,0,1,1,0,0
pot roast,1,0,0,0,0
potter,0,0,1,0,1
pounce,1,0,1,1,1
pound,0,0,0,0,1
pour,0,0,1,0,0
pour,0,1,0,1,1
powder,1,1,1,0,1
power,1,1,0,1,1
power nap,0,1,1,0,1
practice,0,1,1,1,0
practise,0,0,0,1,0
praise,0,0,1,1,1
prance,1,1,0,0,1
prang,1,0,1,1,0
prate,1,1,1,1,0
prattle,1,0,1,1,1
preach,0,1,1,1,0
prebook,1,0,0,1,0
precede,0,1,0,1,0
precipitate,0,1,1,1,0
preclude,1,1,1,1,1
predate,1,1,0,1,0
predecease,0,1,0,0,0
predetermine,0,0,0,0,0
predicate,0,0,1,0,0
predispose,1,1,1,0,0
predominate,0,1,0,0,1
preempt,1,1,0,0,0
preen,0,1,0,0,1
preface,1,1,0,1,0
preheat,1,1,0,1,1
preinstall,1,0,1,0,1
prejudge,1,1,1,1,1
prejudice,0,0,1,1,0
preload,1,1,1,0,1
premiere,1,0,1,0,1
premodifier,1,1,1,1,0
preoccupy,0,0,0,1,1
prep,0,1,1,1,0
prepare,0,1,0,1,0
prepone,1,1,1,1,1
prerecord,1,1,1,1,1
presage,1,0,0,0,1
prescind,0,0,0,0,1
prescribe,1,1,0,0,1
preselect,0,1,0,1,0
present,0,1,0,0,1
preserve,0,1,0,0,1
present,1,1,1,1,0
preside,0,1,1,0,0
press,1,1,0,0,0
press gang,0,1,0,0,0
pressure,1,0,1,1,1
pressurize,1,1,1,0,0
presume,0,0,1,0,0
presuppose,0,0,0,0,0
pretend,1,1,1,1,0
pretty,0,1,1,1,0
prevail,0,1,0,1,0
previcate,0,0,1,0,0
prevent,0,0,1,1,1
preview,0,1,1,1,1
prewash,1,1,0,0,1
prey,1,1,0,0,0
price,0,1,0,0,1
prick,1,1,0,1,1
prickle,0,1,1,1,1
pride,1,0,0,1,1
prime,1,1,1,0,1
primp,0,1,1,1,0
print,1,0,1,1,0
prioritize,0,1,1,1,0
prise,0,1,0,1,1
privatize,1,0,0,0,0
privilege,1,0,1,0,0
prize,0,1,0,0,1
pribate,1,1,1,1,1
probe,0,1,0,1,0
proceed,0,0,1,1,1
process,1,0,1,1,1
proclaim,0,1,1,1,1
procrastinate,1,1,1,0,0
procreate,1,0,1,0,1
procure,1,1,1,0,1
prod,0,0,1,0,1
produce,0,1,0,0,1
profane,0,0,1,1,1
profess,1,0,1,1,1
proffer,1,0,0,0,1
profit,0,0,1,0,0
program,1,0,1,0,0
progress,1,0,1,1,1
prohibit,1,0,0,1,0
project,0,0,0,1,0
proliferate,1,0,0,1,1
prolong,1,1,0,1,1
promenade,0,0,1,1,1
promise,1,1,1,1,0
promote,1,1,0,0,1
prompt,1,1,1,0,1
promulgate,1,0,0,1,1
proof,0,1,0,0,1
prop,0,0,0,1,1
propagandize,0,1,0,0,1
propel,1,1,0,0,0
prophesy,1,1,0,1,1
propitiate,1,1,0,1,0
proportioned,0,0,1,1,0
propose,1,0,1,0,1
propound,1,1,1,1,0
proscribe,0,1,0,1,0
prosecute,0,1,1,1,0
prospect,0,0,0,1,1
prosper,0,0,0,0,1
prostitute,1,1,1,0,1
prostrate,0,1,1,1,0
protect,1,0,1,1,0
protest,1,0,1,1,0
protrude,1,1,0,0,1
prove,0,0,0,0,1
provide,0,0,0,0,0
provision,0,0,1,0,0
provoke,1,0,0,1,0
prowl,0,0,0,0,1
prune,0,1,0,0,1
pry,0,0,1,0,0
psych,1,1,1,0,1
psychoanalyse,0,0,1,1,0
publicize,0,1,1,1,0
publish,1,1,0,0,1
pucker,0,0,0,1,1
puff,1,1,1,1,0
puke,0,0,1,1,0
pull,1,1,1,1,1
pullulate,0,1,1,1,1
pulp,1,0,1,0,0
pulsate,0,0,1,0,1
pulse,0,0,1,0,1
pulverize,1,1,0,1,1
pummel,1,0,0,0,1
pump,0,0,1,1,0
pun,1,0,1,0,1
punch,0,0,1,1,1
punctuate,1,0,0,0,1
puncture,0,0,0,0,0
punish,1,1,0,1,1
punt,1,0,0,0,0
pupate,0,0,1,1,1
purchase,1,1,1,1,0
puree,0,1,1,0,1
purge,1,1,0,0,1
purify,0,0,0,1,0
purport,0,1,1,1,0
purr,0,1,1,0,0
purse,1,0,1,0,1
purvey,0,1,0,1,0
push,1,1,1,1,1
pushstart,0,1,0,1,0
